ID,Name,Formula,Category,Molecular Weight (g/mol),Equation Type,T_min (K),T_max (K),Cp at 298.15K,Native Unit,Data Source,Engineering Notes
met_01,Aluminum,Al,Metals and alloys,26.982,shomate,298.15,933.47,24.35,J/(mol*K),"NIST Chemistry WebBook / JANAF Tables (Chase, 1998)","Lightweight FCC metal, Tm = 933.47 K (660.32 C)."
met_02,Copper,Cu,Metals and alloys,63.546,shomate,298.15,1357.77,24.44,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,"High electrical/thermal conductivity FCC metal, Tm = 1357.77 K."
met_03,Iron (alpha),Fe,Metals and alloys,55.845,shomate,298.15,1042.0,25.1,J/(mol*K),NIST Chemistry WebBook / Desai (1986),BCC ferrite phase up to Curie point (1042 K).
met_04,Nickel,Ni,Metals and alloys,58.693,shomate,298.15,631.0,26.07,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Ferromagnetic FCC metal below Curie point (631 K).
met_05,Titanium (alpha),Ti,Metals and alloys,47.867,shomate,298.15,1155.0,25.06,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,HCP alpha phase; transforms to BCC beta at 1155 K.
met_06,Tungsten,W,Metals and alloys,183.84,shomate,298.15,2500.0,24.27,J/(mol*K),NASA Glenn Database / Barin (1995),Highest melting point pure metal (Tm = 3695 K).
met_07,Gold,Au,Metals and alloys,196.966,shomate,298.15,1337.33,25.42,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Noble FCC metal; highly corrosion resistant; Tm = 1337.33 K.
met_08,Silver,Ag,Metals and alloys,107.868,shomate,298.15,1234.93,25.35,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Highest room-temperature thermal conductivity metal.
met_09,Platinum,Pt,Metals and alloys,195.084,shomate,298.15,2041.4,25.86,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Catalytic standard element; Tm = 2041.4 K.
met_10,Zinc,Zn,Metals and alloys,65.38,shomate,298.15,692.68,25.4,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,HCP galvanizing and brass alloying element; Tm = 692.68 K.
met_11,Lead,Pb,Metals and alloys,207.2,shomate,298.15,600.61,26.65,J/(mol*K),NIST Chemistry WebBook / Barin Thermochemical Data,Heavy metal for radiation shielding; Tm = 600.61 K.
met_12,Magnesium,Mg,Metals and alloys,24.305,shomate,298.15,923.0,24.87,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Lightweight structural metal (density 1.74 g/cm3).
